school,sex,address,famsize,Pstatus,schoolsup,famsup,paid,activities,higher,internet,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,age,Medu,Fedu,traveltime,studytime,failures,famrel,freetime,health,absences
0,0,1,0,1,0,1,1,0,1,1,1.0,0.0,0.0,1.0,0.0,-0.4700969172971248,-0.7724598467726548,-0.5530953513616863,-0.580753984862547,-1.2567574357593627,2.457656471448592,-3.3045278013665493,-1.2795995097321686,1.0305946828201955,0.8929546447088051
0,0,0,0,1,0,1,0,0,0,1,0.0,0.0,1.0,1.0,0.0,1.1025909514787067,-0.7724598467726548,-1.4839143573118412,0.8632829504713537,-0.09667364890456652,-0.4473250536897865,0.05271025940830077,-0.2734186986607199,-0.41328416214616964,-0.7059224392368961
0,0,0,0,1,0,1,0,1,1,0,0.0,1.0,0.0,1.0,0.0,-0.4700969172971248,1.0977060980453512,1.3085426605386237,-0.580753984862547,-0.09667364890456652,-0.4473250536897865,-2.1854484477749327,0.732762112410729,0.30865526033701296,-0.020689403260166984
0,1,1,1,1,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,-0.4700969172971248,-1.7075428191816577,-1.4839143573118412,-0.580753984862547,-0.09667364890456652,1.0051657088794026,0.05271025940830077,0.732762112410729,1.0305946828201955,-0.7059224392368961
0,1,1,0,1,1,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,-1.2564408516850405,-0.7724598467726548,-0.5530953513616863,-0.580753984862547,-1.2567574357593627,-0.4473250536897865,1.1717896129999175,0.732762112410729,-1.857163007112535,-0.7059224392368961
0,0,1,1,1,0,1,0,0,1,1,1.0,0.0,0.0,1.0,0.0,1.1025909514787067,0.16262312563634826,0.37772365458846874,-0.580753984862547,2.223493924805026,-0.4473250536897865,1.1717896129999175,-0.2734186986607199,-1.857163007112535,0.09351610273595454
0,1,1,0,1,0,0,0,0,0,1,0.0,1.0,0.0,1.0,0.0,4.24796668903037,0.16262312563634826,-1.4839143573118412,-0.580753984862547,-1.2567574357593627,3.910147234017781,1.1717896129999175,0.732762112410729,-1.857163007112535,1.1213656567010482
0,1,1,1,1,0,0,0,1,1,1,0.0,0.0,0.0,1.0,0.0,-0.4700969172971248,1.0977060980453512,0.37772365458846874,-0.580753984862547,-1.2567574357593627,-0.4473250536897865,1.1717896129999175,0.732762112410729,-0.41328416214616964,-0.7059224392368961
0,1,1,0,1,0,1,0,1,1,1,1.0,0.0,0.0,0.0,0.0,1.1025909514787067,1.0977060980453512,1.3085426605386237,-0.580753984862547,-0.09667364890456652,1.0051657088794026,0.05271025940830077,-0.2734186986607199,-1.1352235846293524,-0.7059224392368961
0,1,1,1,1,0,1,1,0,1,1,1.0,0.0,0.0,1.0,0.0,0.316247017090791,1.0977060980453512,1.3085426605386237,-0.580753984862547,-0.09667364890456652,-0.4473250536897865,1.1717896129999175,-0.2734186986607199,-0.41328416214616964,0.7787491387126837
